id,name,localDate,localTime,venue,city,country,minPrice,maxPrice,currency,url
LvZ18Q2c12Q-HLYZlkGeO,MURKAGE DAVE,2026-03-19,19:30:00,Village Underground,London,GB,,,,https://www.universe.com/events/murkage-dave-tickets-D3TR9Z?ref=ticketmaster
1AwZkuPGkeNreef,Madra Salach,2026-03-26,19:00:00,The Dome London,London,GB,,,,https://www.ticketweb.uk/event/madra-salach-the-dome-tickets/14668033?REFERRAL_ID=tmfeed
1AwZkGyGkdVK3kY,"A.s Fanning, TV for Cats",2026-03-26,19:30:00,"The Grace, London",London,GB,,,,https://www.ticketweb.uk/event/as-fanning-tv-for-cats-the-grace-tickets/14584143?REFERRAL_ID=tmfeed
17uOvxG65LEHVUZ,Mt. Joy,2026-03-27,19:00:00,Eventim Apollo,London,GB,,,,https://www.ticketmaster.co.uk/mt-joy-london-27-03-2026/event/360062B7E7F34D80
17GOvxG6CI1Svgp,"Dominguinho: Joã£O Gomes, Jota.pãª, Mestrinho",2026-03-28,19:00:00,Electric Brixton,London,GB,,,,https://www.ticketweb.uk/event/dominguinho-joo-gomes-jotap-mestrinho-electric-brixton-tickets/13874964?REFERRAL_ID=tmfeed
LvZ18Qo9UJy4qeZZ0gYUt,COOPER CONCEPTS PRESENTS PABLO CARRIZO + COLOUR TV + HEALER,2026-03-28,19:30:00,The Troubadour,London,GB,,,,https://www.universe.com/events/cooper-concepts-presents-pablo-carrizo-colour-tv-healer-tickets-S1F68Z?ref=ticketmaster
1AwZkCKGkdBGoeQ,Aqualung,2026-03-31,19:00:00,Jazz Cafe,London,GB,,,,https://www.ticketweb.uk/event/aqualung-jazz-cafe-tickets/14014654?REFERRAL_ID=tmfeed
1AwZkCKGkdD_veV,Aqualung - Restaurant,2026-03-31,19:00:00,Jazz Cafe,London,GB,,,,https://www.ticketweb.uk/event/aqualung-restaurant-jazz-cafe-tickets/14014674?REFERRAL_ID=tmfeed
LvZ18QZrgoY3W_YZ-ejwc,THE HAUNTED YOUTH,2026-04-03,19:30:00,Colours Hoxton,London,GB,,,,https://www.universe.com/events/the-haunted-youth-tickets-Q32FXB?ref=ticketmaster
1AwZkC3GkdNZOid,Nick Parker and the False Alarms,2026-04-04,19:00:00,"The Grace, London",London,GB,,,,https://www.ticketweb.uk/event/nick-parker-and-the-false-the-grace-tickets/14011694?REFERRAL_ID=tmfeed
1AwZkoJGkeMBvZH,Blake + Between Suns + Hy-Brasil + Martha Khan,2026-04-04,20:00:00,The Troubadour,London,GB,,,,https://www.ticketweb.uk/event/blake-between-suns-troubadour-tickets/14763023?REFERRAL_ID=tmfeed
17GOvxG65pUBobZ,Black Sea Dahu - Everything Tour,2026-04-16,19:00:00,London Oslo,London,GB,,,,https://www.ticketweb.uk/event/black-sea-dahu-oslo-tickets/14491233?REFERRAL_ID=tmfeed
1AwZkupGkdphvSL,M60,2026-04-17,18:30:00,London Oslo,London,GB,,,,https://www.ticketweb.uk/event/m60-oslo-tickets/14636763?REFERRAL_ID=tmfeed
LvZ18QoM4FqkOSOvCeJl_,Basht.,2026-04-17,19:00:00,Moth Club,London,GB,,,,https://www.universe.com/events/basht-tickets-KTD4LF?ref=ticketmaster
LvZ18Q4VDQ6pWPYZyLUbi,ENJOYABLE LISTENS,2026-04-23,19:00:00,Moth Club,London,GB,,,,https://www.universe.com/events/enjoyable-listens-tickets-7GHYLT?ref=ticketmaster
G5vHZbw92dfiZ,The Bros. Landreth,2026-04-25,19:00:00,Union Chapel,London,GB,,,,https://www.ticketmaster.co.uk/the-bros-landreth-london-25-04-2026/event/1F006325CF0D4B00
1AMZkokGkdLekqE,Truman Sinclair,2026-04-28,19:30:00,The George Tavern,London,GB,,,,https://www.ticketmaster.co.uk/truman-sinclair-london-28-04-2026/event/37006446DF086767
1AwZko7Gkd-AOch,Lizzie Reid,2026-04-30,19:00:00,The Waiting Room,London,GB,,,,https://www.ticketweb.uk/event/lizzie-reid-the-waiting-room-tickets/14138784?REFERRAL_ID=tmfeed
1AdFZbUGkmwwZHE,Luca Fogale,2026-04-30,19:00:00,Bush Hall,London,GB,,,,https://www.ticketweb.uk/event/luca-fogale-bush-hall-tickets/14682753?REFERRAL_ID=tmfeed
G5dzZ_ALrfVZ3,Esha Tewari,2026-05-01,19:00:00,O2 Academy Islington,London,GB,,,,https://www.ticketmaster.co.uk/esha-tewari-london-01-05-2026/event/3E006457DE534012
LvZ18QooXTcHmoOZ0SNIW,Barbara,2026-05-02,19:00:00,The Victoria,London,GB,,,,https://www.universe.com/events/barbara-tickets-VQMKDF?ref=ticketmaster
G5dzZ_ALbAKy5,Esha Tewari,2026-05-02,19:00:00,O2 Academy Islington,London,GB,,,,https://www.ticketmaster.co.uk/esha-tewari-london-02-05-2026/event/3E006457D8153E4B
LvZ18Qb6hzRvefYZwl0tZ,Otala,2026-05-02,19:00:00,"The Grace, London",London,GB,,,,https://www.universe.com/events/otala-tickets-TRGYKB?ref=ticketmaster
1AwZkG4GkexLocd,Ryan Harris,2026-05-07,19:00:00,The Garage,London,GB,,,,https://www.ticketweb.uk/event/ryan-harris-the-garage-tickets/14505493?REFERRAL_ID=tmfeed
